agency_cd	site_no	peak_dt	peak_tm	peak_va	peak_cd	gage_ht	gage_ht_cd	year_last_pk	ag_dt	ag_tm	ag_gage_ht	ag_gage_ht_cd
USGS	09402500	1884-07-08		300000	2,7							
USGS	09402500	1921-06-19		220000		37.50						
USGS	09402500	1922-06-01		115000	2							
USGS	09402500	1923-09-19		112000		28.50						
USGS	09402500	1924-06-18		74000		22.40						
USGS	09402500	1925-06-03		53700		18.75						
USGS	09402500	1926-05-29		85600		24.27						
USGS	09402500	1927-07-02		127000		29.25						
USGS	09402500	1928-06-03		115000		27.85						
USGS	09402500	1929-05-29		111000		27.50						
USGS	09402500	1930-06-04		71000		21.60						
USGS	09402500	1931-05-22		34600		14.36						
USGS	09402500	1932-05-26		102000		26.10						
USGS	09402500	1933-06-05		81500		23.41						
USGS	09402500	1934-05-17		25500		12.32						
USGS	09402500	1935-06-19		105000		26.82						
USGS	09402500	1936-05-24		76300		22.64						
USGS	09402500	1937-05-21		85300		23.90						
USGS	09402500	1938-06-08		100000		26.38						
USGS	09402500	1939-05-26		49000		18.07						
USGS	09402500	1940-05-18		46800		17.66						
USGS	09402500	1941-05-17		120000		28.86						
USGS	09402500	1942-05-31		91800		25.18						
USGS	09402500	1943-06-06		66800		21.39						
USGS	09402500	1944-05-20		93400		25.10						
USGS	09402500	1945-05-17		63300		21.40						
USGS	09402500	1946-06-14		50100		18.65						
USGS	09402500	1947-05-14		80100		23.10						
USGS	09402500	1948-05-26		89800		24.90						
USGS	09402500	1949-06-22		112000		27.95						
USGS	09402500	1950-06-06		58400		20.55						
USGS	09402500	1951-06-01		63700		21.00						
USGS	09402500	1952-06-12		122000		29.05						
USGS	09402500	1953-06-17		68500		21.80						
USGS	09402500	1954-05-27		32800		15.05						
USGS	09402500	1955-06-14		40400		16.90						
USGS	09402500	1956-06-06		67200		21.60						
USGS	09402500	1957-06-13		125000		29.10						
USGS	09402500	1958-06-02		108000		26.97						
USGS	09402500	1959-06-19		38300		16.11						
USGS	09402500	1960-06-10		46300		17.95						
USGS	09402500	1961-06-06		39800		16.38						
USGS	09402500	1962-05-17		85600		23.80						
USGS	09402500	1962-10-22		20700	6	11.26						
USGS	09402500	1964-04-29		19700	6	10.81						
USGS	09402500	1965-06-15		58400	6	19.98						
USGS	09402500	1966-05-04		21300	6	11.33						
USGS	09402500	1967-09-09		23900	6	16.17						
USGS	09402500	1968-07-20		26800	6	16.60						
USGS	09402500	1969-09-12		30800	6	17.60						
USGS	09402500	1970-08-27		27600	6	16.33						
USGS	09402500	1971-08-24		33400	6	18.05						
USGS	09402500	1972-05-26		29500	6	16.95						
USGS	09402500	1973-04-19		38300	6	18.47						
USGS	09402500	1974-08-21		28200	6	15.56						
USGS	09402500	1975-07-30		28900	6	15.72						
USGS	09402500	1976-05-20		27700	6	15.40						
USGS	09402500	1977-08-19		32100	6	16.53						
USGS	09402500	1978-09-09		29400	6	15.87						
USGS	09402500	1978-12-23		38600	6	18.14						
USGS	09402500	1980-06-24		45000	6	19.60						
USGS	09402500	1981-07-30		25400	6	14.71						
USGS	09402500	1982-08-28		27900	6	15.15						
USGS	09402500	1983-06-29		96200	6	26.26						
USGS	09402500	1984-08-13		47600	6	18.31						
USGS	09402500	1985-06-02		47400	6	18.25						
USGS	09402500	1986-05-31		53500	6	19.15						
USGS	09402500	1987-01-31		31600	6	14.67						
USGS	09402500	1988-07-29		25500	6	13.16						
USGS	09402500	1989-08-19		31300	6	14.81						
USGS	09402500	1990-08-01		28200	6	13.77						
USGS	09402500	1991-06-18		29000	6	13.89						
USGS	09402500	1992-07-24		19900	6	11.18						
USGS	09402500	1993-01-13		34100	6	15.44						
USGS	09402500	1994-08-18		22000	6	12.03						
USGS	09402500	1995-09-09		25400	6	14.03						
USGS	09402500	1996-03-31		47900	6	18.98						
USGS	09402500	1997-09-16		31500	6	14.87						
USGS	09402500	1997-11-06		31900	6	15.39						
USGS	09402500	1999-08-31		25900	6	14.29						
USGS	09402500	2000-09-07		32800	6	15.85						
USGS	09402500	2001-03-20		19400	6	11.72						
USGS	09402500	2002-09-11	13:30	21400	6	12.37						
USGS	09402500	2003-03-20	11:45	21000	6	12.10						
USGS	09402500	2004-07-15	16:00	21300	6	12.19						
USGS	09402500	2004-11-23	01:15	43400	6	18.22						
USGS	09402500	2006-08-05	11:15	20200	6	11.94						
USGS	09402500	2006-10-06	15:45	20400	6	12.00						
USGS	09402500	2008-03-07	17:00	45300	6	18.42						
USGS	09402500	2009-07-21	11:15	17700	6	10.68						
USGS	09402500	2010-08-07		21400	6	12.14						
USGS	09402500	2011-07-09		26700	6	13.78						
USGS	09402500	2011-11-21		21500	6	12.30						
USGS	09402500	2012-11-20		46700	6	18.69						
USGS	09402500	2013-11-15	17:15	38100	6	16.90						
USGS	09402500	2014-11-12	06:30	38900	6	17.08						
USGS	09402500	2016-08-06	08:00	20400	6	11.91						
USGS	09402500	2016-11-08	17:45	38400	6	17.20						
USGS	09402500	2018-08-21	13:52	20700	6	12.00						
USGS	09402500	2018-11-07	11:45	40300	6	17.76						
